id,subClassOf,parent,notes
Chiroptera,subClassOf,Mammal,Adds order for bats; Bat-Mammal exists but not directly under Mammal
Lagomorpha,subClassOf,Mammal,Adds order for rabbits and hares; Rabbit currently misplaced under Rodent
Hare,subClassOf,Lagomorpha,Adds common lagomorph; complements existing Rabbit
Pika,subClassOf,Lagomorpha,Adds another lagomorph family (Ochotonidae); balances Rabbit coverage
Rabbit,subClassOf,Lagomorpha,Correction: Moves Rabbit from Rodent to correct order Lagomorpha
Proboscidea,subClassOf,Mammal,Adds order for elephants; groups AfricanElephant and AsianElephant
Sirenia,subClassOf,Mammal,Adds order for sea cows; complements existing Manatee
Dugong,subClassOf,Sirenia,Adds common sirenian species; pairs with Manatee
Soricomorpha,subClassOf,Mammal,Adds order for shrews and moles; Shrew misplaced under Rodent
Mole,subClassOf,Soricomorpha,Adds common soricomorph; complements Shrew and fixes Mole-Animal placement
Shrew,subClassOf,Soricomorpha,Correction: Moves Shrew from Rodent to correct order Soricomorpha
Mole-Animal,subClassOf,Soricomorpha,Correction: Moves Mole-Animal from Eutheria to correct order Soricomorpha
ArcticWolf,subClassOf,Wolf,Adds notable wolf subspecies; complements RedWolf etc.
Leopard,subClassOf,Felidae,Adds major felid species; missing despite detailed Tiger entries
Cheetah,subClassOf,Felidae,Adds major felid species; only AsiaticCheetah present
SnowLeopard,subClassOf,Felidae,Adds distinctive felid; balances large cat representation
Panda,subClassOf,Ailuropoda,Adds broader panda category; complements QinlingPanda
GiantPanda,subClassOf,Panda,Adds primary panda species; QinlingPanda is a subspecies
QinlingPanda,subClassOf,Panda,Correction: Moves QinlingPanda from Ailuropoda to new Panda category
Muskrat,subClassOf,Rodent,Adds common rodent; complements diverse rodent coverage
Capybara,subClassOf,Rodent,Adds largest rodent species; balances Rodentia beyond mice/squirrels
Porcupine,subClassOf,Rodent,Adds broader rodent category; existing porcupines are specific
Macaque,subClassOf,Cercopithecidae,Adds common old world monkey; complements Guenon and Baboon
Gibbon,subClassOf,HylobatidaeFamily,Adds broader gibbon category; existing gibbons are specific
Tamarin,subClassOf,Monkey,Adds new world monkey; balances Cercopithecidae-heavy primates
Zaglossus,subClassOf,Echidna,Adds another echidna genus; complements Short-beakedEchidna
Bandicoot,subClassOf,Marsupial,Adds notable marsupial; expands Marsupial coverage
Quokka,subClassOf,Marsupial,Adds notable marsupial; expands Marsupial coverage
Bilby,subClassOf,Marsupial,Adds distinctive marsupial; further balances Marsupialia
TasmanianTiger,subClassOf,Marsupial,Adds extinct marsupial (Thylacine); enriches Marsupial diversity
Numbat,subClassOf,Marsupial,Adds unique marsupial; balances Marsupialia further
Beluga,subClassOf,ToothedWhale,Adds distinctive toothed whale; complements Dolphin
Narwhal,subClassOf,ToothedWhale,Adds distinctive toothed whale; complements SpermWhale
BlueWhale,subClassOf,BaleenWhale,Adds iconic baleen whale; complements Rorqual entries
Tapir,subClassOf,Perissodactyla,Adds odd-toed ungulate; balances Equidae-heavy Perissodactyla
Perissodactyla,subClassOf,Mammal,Adds order for odd-toed ungulates; groups Equidae and Tapir
JaguarVehicle,subClassOf,None,Correction: Flags non-animal entry under JaguarCat for removal or reclassification
VampireBat,subClassOf,Phyllostomidae,Correction: Clarifies Vampire under Mammal as VampireBat; replaces ambiguous Vampire
