id,subClassOf,parent,notes
Rhynchocephalia,subClassOf,Reptile,Adds order for tuataras; expands reptile diversity
Tuatara,subClassOf,Rhynchocephalia,Adds iconic reptile species; complements order
Colubridae,subClassOf,Snake,Adds family for colubrid snakes; groups garter snakes
RatSnake,subClassOf,Colubridae,Adds common colubrid; expands Snake diversity
Elapidae,subClassOf,VenomousSnake,Adds family for cobras and coral snakes; formalizes existing entries
SeaSnake,subClassOf,Elapidae,Adds marine elapid; balances VenomousSnake
MonitorLizard,subClassOf,Varanidae,Adds broader monitor category; complements KomodoDragon
GilaMonster,subClassOf,Helodermatidae,Adds venomous lizard; expands Lizard diversity
Helodermatidae,subClassOf,Lizard,Adds family for venomous lizards; groups GilaMonster
Macrochelys,subClassOf,SnappingTurtle,Adds snapping turtle genus; complements Chelydra
OsteolaemusTetraspis,subClassOf,Osteolaemus,Adds specific dwarf crocodile; balances Crocodile
Saurischia,subClassOf,Dinosaur,Adds suborder for saurischian dinosaurs; expands fossil reptiles
Theropod,subClassOf,Saurischia,Adds theropod group; complements Dinosaur
Varanidae,subClassOf,Lizard,Adds family for monitor lizards; groups KomodoDragon and MonitorLizard
Phrynosoma,subClassOf,HornedLizard,Adds genus for horned lizards; expands existing HornedLizard
Anaconda,subClassOf,Constrictor,Correction: Moves Anaconda to Constrictor for consistency (already present)
LochNessMonster,subClassOf,None,Correction: Flags mythical entry for removal from Reptile
Dragon,subClassOf,None,Correction: Flags mythical entry for removal from Reptile
Herensuge,subClassOf,None,Correction: Flags mythical entry for removal from Reptile
Cobra,subClassOf,Elapidae,Correction: Moves Cobra to Elapidae for taxonomic clarity
CoralSnake,subClassOf,Elapidae,Correction: Moves CoralSnake to Elapidae for taxonomic clarity
GarterSnake,subClassOf,Colubridae,Correction: Moves GarterSnake to Colubridae for taxonomic clarity
